term0,term1,term2,term3,term4,term5
0:00:04,警察,殴打,死亡,,
0:00:13,人们,需要,真相,,
0:01:08,青奥会,南京,房价,上涨,
0:02:08,转帖,真相,,,
0:02:19,职场,事件,,,
0:30:35,物价,上涨,房价,不涨,
0:31:03,城市,房价,上涨,,
0:31:27,自己,受伤,,,
0:31:30,知道,真相,后悔,,
0:31:32,讨厌,暴力,,,
1:00:55,公路,死亡,,,
1:00:56,抿嘴照,真相,长肥,,
1:02:57,央视,主播,新闻,真相,
1:03:15,别人,受伤,,,
1:03:32,不幸,婚姻,受伤,孩子,
1:30:36,同学,集会,,,
1:31:47,日本,掩盖,核污染,真相,
1:32:28,大龄,分手,受伤,,
1:32:34,日军,惨案,受伤,,
1:33:09,世界,迎来,革命,,
2:00:38,真相,幸运儿,,,
2:02:08,黄竹岐,事件,广州,义愤,
2:03:16,知道,真相,,,
2:03:55,食物,死亡,,,
2:05:08,死亡,威胁,,,
2:30:10,为,死亡,准备,,
2:31:13,国内,房价,高,蜗居,
2:32:28,久坐,结肠癌,死亡,,
2:32:40,害怕,受伤,,,
2:34:05,陈独秀,革命家,,,
3:00:59,无知,受伤,,,
3:01:16,革命,题材,电视剧,,
3:01:17,射手座,容易,受伤,,
3:02:09,C罗,受伤,,,
3:04:10,法拉利,撞护栏,死亡,,
3:30:07,批判,国民党,右派,反革命,
3:30:13,辛亥革命,,,,
3:30:15,网游,三国,动乱,,
3:32:05,董芳泽,贪污,,,
3:32:25,发现,真相,,,
4:00:37,风,安抚,受伤,心灵,
4:02:06,女护士,天降玻璃,砸中,死亡,
4:04:14,哈尔滨,检查机关,查办,贪污,
4:05:05,税费,转嫁,房价,,
4:05:37,房价,调动,,,
4:30:17,发现,真相,,,
4:32:04,四川,石岩湖,漂浮不沉,真相,
4:33:10,老百姓,取钱,房价,跌穿,
4:34:05,容易,受伤,,,
4:35:17,当事人,施工方,打人,,
5:00:19,最后的,别离,死亡,,
5:01:18,地震,吕才文,房屋倒塌,受伤,
5:01:58,追求,梦想,受伤,,
5:02:05,不能,辨认,真相,,
5:02:18,发现,真相,,,
5:30:10,印度,反恐,战斗,警察,受伤
5:30:10,游戏,题材,砍杀,,
5:30:13,金融部门,房价,下跌,准备,
5:31:07,巴基斯坦,沙龙之死,受伤,犯罪,
5:32:06,受伤,,,,
6:00:19,东莞,佳唱玩具公司,中毒,事件,
6:00:59,辛亥,革命,,,
6:00:59,父母,不让他,受伤,,
6:02:02,福州,公交车追尾,乘客,受伤,
6:02:38,河西,信用社,主任,贪污,
6:30:10,哈市道外,货车打火,爆炸,事件,
6:30:11,国企,犯罪,贪污,,
6:30:12,不要,让别人,受伤,,
6:30:23,爱情,受伤,,,
6:32:01,东莞,佳唱玩具公司,中毒,事件,
7:00:02,泉州港,事件,,,
7:00:52,自己,受伤,,,
7:02:00,发表,博文,死亡,,
7:02:12,乌克兰汽车公司,投资,奇瑞,事件,
7:02:49,早起,正能量,减少,死亡,
7:30:34,苏军,出兵,东北,真相,
7:30:36,追求,梦想,受伤,,
7:30:39,鸟,没有脚,死亡,,
7:30:40,埃德蒙顿,仓库,暴力,杀人,事件
7:31:11,薛蛮子,嫖娼,事件,,
8:00:12,美国,恐怖,电影,真相,
8:00:59,南油,交通,事故,受伤,
8:00:59,动漫,暴力,,,
8:01:18,女婴,注射,乙肝疫苗,死亡,
8:01:20,法国,高铁,零死亡,,
8:30:36,性别,起源,重大,事件,
8:32:36,拍客,暴打,老人,,
8:32:44,杭州,楼盘,降价,砸盘,事件
8:33:43,受伤,狮子,,,
8:34:22,掩盖,真相,,,
9:00:08,乞力马扎罗雪山,吴冠中,创作于,文化大革命,
9:00:23,积极,魅力,接受,真相,
9:01:00,房价,下跌,,,
9:01:01,旧制度,革命,,,
9:01:05,南京,护士,被打,事件,
9:31:03,害怕,受伤,,,
9:31:57,大火,烧毁,波士顿,夜总会,受伤
9:31:57,太爱,容易,受伤,,
9:31:58,乌克兰,部队,警察,暴力,
9:33:10,害怕,受伤,,,
10:00:10,江苏,官员,殴打,护士,
10:00:23,太康县,张集镇书记,张爱玲,贪污,
10:01:43,暴力,教育,孩子,,
10:02:25,知道,事件,过程,,
10:02:45,范佩西,受伤,,,
10:30:10,腐败,可耻,,,
10:30:15,房价,大跌,,,
10:30:15,真相,伤害,,,
10:31:04,手机,相机,革命,,
10:31:56,香港,市民,请求,真相,
11:00:05,女性,韧带,脆弱,受伤,
11:00:06,人流,胎儿,死亡,,
11:01:26,南京,博士,跳楼,死亡,
11:03:42,金牛座,让自己,受伤,,
11:04:09,女生,现实,受伤,,
11:30:27,人生,闯,受伤,,
11:31:03,期待,真相,,,
11:31:38,告诉,真相,,,
11:32:14,三四线城市,房价,下跌,,
11:33:12,梦里,打人,,,
12:00:04,忘记,真相,,,
12:00:37,内心,容易,受伤,,
12:00:46,缓解,北京,房价,,
12:01:12,砍杀,护士,事件,,
12:01:38,知道,真相,,,
12:31:01,漫画,美少女,真相,,
12:31:17,小时候,暴力,,,
12:31:27,俄国,革命,乌克兰,,
12:31:39,襄阳,崩盘,事件,,
12:31:39,揣测,真相,,,
13:00:06,白领,颈椎,受伤,,
13:00:27,葡萄牙,贵族,发动,革命,
13:00:45,为了,女友,不怕,死亡,
13:01:13,知道,真相,,,
13:01:13,美国,路易斯安那州,怪异,事件,
13:31:08,死亡,游戏,,,
13:31:08,登高,健身,枪声,,
13:31:59,食物,搭配,死亡,,
13:32:45,摆脱,事件,,,
13:33:14,肿瘤,死亡率,,,
14:00:03,新一代,高尔夫,暴力,,
14:00:55,房价,下跌,,,
14:00:58,游戏,革命,,,
14:01:39,镇压,物产阶级政权,,,
14:01:43,知道,真相,,,
14:30:24,健身,适度,防止,受伤,
14:30:28,房价,下跌,,,
14:31:14,共产党员,革命,遭迫害,,
14:31:16,游戏,装备,防止,受伤,
14:31:17,暴力,,,,
15:00:19,侠盗飞车,游戏,暴力,,
15:00:19,突发,事件,,,
15:00:21,发现,真相,,,
15:00:30,白羊座,事件,,,
15:01:05,事件,诱发,骨质疏松,,
15:30:26,暴力,正当化,普遍化,,
15:31:13,深圳,外企白领,晕倒,死亡,
15:31:16,曹县,卖地,事件,,
15:31:57,夹板,固定,受伤,手指,
15:32:06,发现,真相,,,
16:00:06,绿色,能源,革命,,
16:00:07,保护,耳朵,受伤,,
16:00:46,房价,下跌,,,
16:01:15,死亡,放假,,,
16:02:13,蒋介石,车祸,事件,,
16:30:38,蚌埠,反腐败,,,
16:31:56,心理,创伤,灾难,事件,
16:33:02,发现,真相,,,
16:34:07,俄罗斯,乌克兰,事件,,
16:34:15,面对,死亡,生命,脆弱,
17:00:11,慈利县,民警,受伤,,
17:00:11,胡萝卜素,降低,死亡,,
17:01:10,菊地创,革命,复出,,
17:01:15,吉克阿呷,父母,双双死亡,,
17:01:59,隐瞒,真相,时间,揭露,
17:30:16,生活,事件,,,
17:30:19,革命,提高,注意力,,
17:30:40,出生,死亡,,,
17:31:07,洗心,革命,,,
17:31:08,房价,市场,风险,,
18:00:18,事件,,,,
18:00:57,发现,真相,,,
18:00:57,奇异,事件,,,
18:01:02,突发,事件,,,
18:01:11,房价,下跌,,,
18:30:04,孙浩英,车内,女尸,真相,
18:30:09,襄阳,崩盘,事件,,
18:30:12,篆刻,受伤,,,
18:30:13,武汉理工,大一女生,死亡,,
18:32:01,安徽,老农,土葬,焚烧,事件
19:00:57,记者,揭露,真相,,
19:01:34,打击,腐败,,,
19:01:36,自由,民主,革命,,
19:01:46,事故,受伤,,,
19:01:49,查明,事件,,,
19:30:15,查明,真相,,,
19:31:24,打击,暴力,袭击,,
19:31:30,揭露,真相,,,
19:32:12,昆明,汽车轮胎,加工厂,爆炸,受伤
19:32:14,无人,受伤,,,
20:00:05,发动,革命,,,
20:00:21,发现,真相,,,
20:01:15,革命,,,,
20:01:24,房价,崩盘,,,
20:01:43,冲突,人员,伤亡,事件,
20:30:14,打击,贪污,腐败,,
20:30:18,鲁道夫,热衷,科学,革命,
20:31:24,使用,暴力,影响,孩子,
20:31:52,北京,房价,涨幅,居首,
20:31:55,女友,死亡,真相,,
21:00:11,腐败,,,,
21:00:20,弱势群体,受伤,,,
21:00:43,腐败,,,,
21:00:44,身体,受伤,,,
21:01:01,革命,,,,
21:30:02,昆明,火车站,暴恐,时间,
21:30:22,昆明,暴恐,事件,,
21:30:38,昆明,暴恐,事件,造成,死亡
21:30:59,昆明,暴恐,事件,,
21:31:03,请求,查出,暴恐,事件,真相
22:00:03,昆明,暴恐,事件,造成,死亡
22:00:04,昆明,暴恐,事件,,
22:00:11,昆明,暴恐,事件,造成,死亡
22:00:12,昆明,暴恐,事件,多人,受伤
22:00:12,房价,暴跌,,,
22:30:05,惩治,腐败,,,
22:30:19,惩治,腐败,,,
22:30:28,昆明,暴恐,事件,受伤,
22:30:36,房价,下跌,,,
22:30:38,昆明,暴恐,事件,真相,
23:00:06,昆明,暴恐,事件,受伤,
23:01:27,昆明,暴恐,事件,受伤,
23:03:03,昆明,暴恐,事件,,
23:03:04,昆明,暴恐,事件,真相,
23:03:45,昆明,暴恐,事件,,
23:30:43,昆明,暴恐,事件,造成受伤,
23:31:27,昆明,暴恐,事件,造成受伤,
23:31:30,昆明,暴恐,事件,造成,死亡
23:32:13,昆明,暴恐,事件,真相,
23:32:14,昆明,暴恐,事件,,
