time,value
1,2263
2,2044
3,2097
4,2197
5,2194
6,2092
7,1804
8,1651
9,1819
10,1980
11,1851
12,1906
13,1463
14,1540
15,1334
16,1625
17,1750
18,1611
19,1202
20,1283
21,1287
22,1456
23,1441
24,1550
25,1158
26,1160
27,1190
28,1422
29,1382
30,1452
31,1196
32,1338
33,1275
34,1634
35,1549
36,1582
37,1351
38,1515
39,1223
40,1659
41,1826
42,1760
43,1541
44,1589
45,1742
46,1792
47,1823
48,1932
49,1744
50,1979
51,1892
52,1882
53,1886
54,1930
55,1925
56,1910
57,1766
58,1810
59,1688
60,1714
61,1600
62,1700
63,1820
64,1820
65,1940
66,1653
67,1754
68,1817
69,1712
70,1963
71,1900
72,1887
73,1670
74,1837
75,1776
76,1920
77,1974
78,1788
79,1789
80,2009
81,2024
82,1950
83,2057
84,1911
85,2123
86,1871
87,1934
88,1871
89,1857
90,1840
91,1983
92,2099
93,2037
94,2153
95,2196
96,2243
97,2249
98,2278
99,2250
100,2228
101,2139
102,2334
103,2351
104,2214
105,2549
106,2152
107,2305
108,2541
109,2385
110,2463
111,2519
112,2407
113,2451
114,2406
115,2540
116,2638
117,2361
118,2348
119,2345
120,2265
121,2403
122,2638
123,2673
124,2702
125,2572
126,2895
127,2680
128,2618
129,2690
130,2548
131,2821
132,2853
133,2573
134,2653
135,2864
136,2865
137,2897
138,2914
139,2951
140,2919
141,2834
142,2866
143,3192
144,3422
