location_name,location_id,total_num
新疆维吾尔自治区,0,3263
西藏自治区,1,8460
内蒙古自治区,2,3202
青海省,3,5197
四川省,4,3928
黑龙江省,5,3384
甘肃省,6,2356
云南省,7,2538
广西壮族自治区,8,2961
湖南省,9,3082
陕西省,10,4774
广东省,11,19943
吉林省,12,3505
河北省,13,2538
湖北省,14,4713
贵州省,15,2417
山东省,16,3323
江西省,17,2659
河南省,18,2659
辽宁省,19,5318
山西省,20,2840
安徽省,21,2477
福建省,22,9065
浙江省,23,9669
江苏省,24,6647
重庆市,25,6043
宁夏回族自治区,26,5378
海南省,27,8460
台湾省,28,2659
北京市,29,47742
天津市,30,11482
上海市,31,33842
香港特别行政区,32,12691
澳门特别行政区,33,42907
